Township_N,Range_E,Section,Well_Depth,Elevation_Of_Clay_Layer,Smectite_Clay_Layer,Depth_to_Aquifer,Elevation
42,7,1,0,7700,0,0,7700
42,7,2,0,7700,0,0,7700
42,7,3,0,7700,0,0,7700
42,7,4,0,7700,0,0,7700
42,7,5,0,7700,0,0,7700
42,7,6,0,7700,0,0,7700
42,7,7,0,7700,0,0,7700
42,7,8,0,7700,0,0,7700
42,7,9,0,7700,0,0,7700
42,7,10,0,7700,0,0,7700
42,7,11,0,7700,0,0,7700
42,7,12,0,7700,0,0,7700
42,7,13,0,7700,0,0,7700
42,7,14,0,7700,0,0,7700
42,7,15,0,7700,0,0,7700
42,7,16,0,7700,0,0,7700
42,7,17,0,7700,0,0,7700
42,7,18,0,7700,0,0,7700
42,7,19,0,7700,0,0,7700
42,7,20,0,7700,0,0,7700
42,7,21,0,7700,0,0,7700
42,7,22,0,7700,0,0,7700
42,7,23,0,7700,0,0,7700
42,7,24,0,7700,0,0,7700
42,7,25,0,7700,0,0,7700
42,7,26,0,7700,0,0,7700
42,7,27,0,7700,0,0,7700
42,7,28,0,7700,0,0,7700
42,7,29,0,7700,0,0,7700
42,7,30,0,7700,0,0,7700
42,7,31,0,7700,0,0,7700
42,7,32,0,7700,0,0,7700
42,7,33,0,7700,0,0,7700
42,7,34,0,7700,0,0,7700
42,7,35,0,7700,0,0,7700
42,7,36,0,7700,0,0,7700
42,8,1,0,7445,1,130,7575
42,8,2,0,7445,1,130,7575
42,8,2,1218,7445,1,130,7575
42,8,3,0,7445,1,130,7575
42,8,4,0,7430,1,130,7560
42,8,5,0,7435,1,130,7565
42,8,6,0,7435,1,130,7565
42,8,7,0,7435,1,130,7565
42,8,8,0,7435,1,130,7565
42,8,9,0,7435,1,130,7565
42,8,10,0,7435,1,130,7565
42,8,11,0,7435,1,130,7565
42,8,12,0,7435,1,130,7565
42,8,13,0,7435,1,130,7565
42,8,14,0,7435,1,130,7565
42,8,15,0,7435,1,130,7565
42,8,16,0,7435,1,130,7565
42,8,17,0,7435,1,130,7565
42,8,18,0,7435,1,130,7565
42,8,19,0,7435,1,130,7565
42,8,20,0,7435,1,130,7565
42,8,21,0,7435,1,130,7565
42,8,22,0,7435,1,130,7565
42,8,23,0,7435,1,130,7565
42,8,24,0,7435,1,130,7565
42,8,25,0,7435,1,130,7565
42,8,26,0,7435,1,130,7565
42,8,27,0,7435,1,130,7565
42,8,28,0,7435,1,130,7565
42,8,29,0,7435,1,130,7565
42,8,30,0,7435,1,130,7565
42,8,31,0,7435,1,130,7565
42,8,32,0,7435,1,130,7565
42,8,33,0,7435,1,130,7565
42,8,34,0,7435,1,130,7565
42,8,35,0,7435,1,130,7565
42,8,36,0,7435,1,130,7565
42,9,1,0,7425,1,130,7555
42,9,2,0,7425,1,130,7555
42,9,2,140,7434,1,121,7555
42,9,3,0,7435,1,130,7565
42,9,4,0,7430,1,130,7560
42,9,4,1450,7425,1,135,7560
42,9,5,0,7430,1,130,7560
42,9,6,0,7435,1,130,7565
42,9,6,410,7440,1,125,7565
42,9,7,0,7435,1,130,7565
42,9,8,0,7430,1,130,7560
42,9,9,0,7425,1,130,7555
42,9,10,0,7425,1,130,7555
42,9,11,0,7420,1,130,7550
42,9,11,140,7415,1,135,7550
42,9,12,0,7430,1,130,7560
42,9,13,0,7430,1,130,7560
42,9,14,0,7430,1,130,7560
42,9,15,0,7430,1,130,7560
42,9,16,0,7430,1,130,7560
42,9,17,0,7430,1,130,7560
42,9,18,0,7430,1,130,7560
42,9,19,0,7430,1,130,7560
42,9,20,0,7430,1,130,7560
42,9,21,0,7430,1,130,7560
42,9,22,0,7430,1,130,7560
42,9,23,0,7430,1,130,7560
42,9,24,0,7430,1,130,7560
42,9,25,0,7430,1,130,7560
42,9,26,0,7430,1,130,7560
42,9,27,0,7430,1,130,7560
42,9,28,0,7430,1,130,7560
42,9,29,0,7430,1,130,7560
42,9,30,0,7430,1,130,7560
42,9,31,0,7430,1,130,7560
42,9,32,0,7430,1,130,7560
42,9,33,0,7430,1,130,7560
42,9,34,0,7430,1,130,7560
42,9,35,0,7430,1,130,7560
42,9,36,0,7430,1,130,7560
42,10,1,0,7405,1,140,7545
42,10,2,0,7400,1,140,7540
